workerID,gender,language,income,age,utteranceID,domain,utteranceType,utteranceRounded,exactUtterance,utterance,utteranceLength,opinionProb,order,interpretation,interpretationType,interpretationRounded,interpretationProb
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,500,round,500,0.282608695652
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,501,sharp,500,0.275362318841
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,2000,round,2000,0.217391304348
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,2001,sharp,2000,0.224637681159
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,500,round,500,0.285714285714
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,501,sharp,500,0.278571428571
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,2000,round,2000,0.221428571429
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,2001,sharp,2000,0.214285714286
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,500,round,500,0.30534351145
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,501,sharp,500,0.30534351145
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,2000,round,2000,0.236641221374
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,2001,sharp,2000,0.152671755725
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,500,round,500,0.287769784173
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,501,sharp,500,0.287769784173
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,2000,round,2000,0.215827338129
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,2001,sharp,2000,0.208633093525
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,500,round,500,0.289855072464
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,501,sharp,500,0.289855072464
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,2000,round,2000,0.210144927536
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,2001,sharp,2000,0.210144927536
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,500,round,500,0.289855072464
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,501,sharp,500,0.289855072464
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,2000,round,2000,0.210144927536
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,2001,sharp,2000,0.210144927536
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,10001,sharp,10000,0.0
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,500,round,500,0.204545454545
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,501,sharp,500,0.25
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,2000,round,2000,0.25
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,2001,sharp,2000,0.272727272727
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,10000,round,10000,0.0227272727273
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,10001,sharp,10000,0.0
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,500,round,500,0.327586206897
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,501,sharp,500,0.344827586207
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,2000,round,2000,0.155172413793
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,2001,sharp,2000,0.137931034483
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,10000,round,10000,0.0172413793103
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,10001,sharp,10000,0.0172413793103
A1BFW88CZ8UUTI,M,English,4,45,85,laptop,round,500,five hundred,500,2,0.225,3,500,round,500,0.368421052632
A1BFW88CZ8UUTI,M,English,4,45,85,laptop,round,500,five hundred,500,2,0.225,3,501,sharp,500,0.381578947368
A1BFW88CZ8UUTI,M,English,4,45,85,laptop,round,500,five hundred,500,2,0.225,3,2000,round,2000,0.118421052632
A1BFW88CZ8UUTI,M,English,4,45,85,laptop,round,500,five hundred,500,2,0.225,3,2001,sharp,2000,0.118421052632
A1BFW88CZ8UUTI,M,English,4,45,85,laptop,round,500,five hundred,500,2,0.225,3,10000,round,10000,0.0
A1BFW88CZ8UUTI,M,English,4,45,85,laptop,round,500,five hundred,500,2,0.225,3,10001,sharp,10000,0.0131578947368
A1BFW88CZ8UUTI,M,English,4,45,87,laptop,round,2000,two thousand,2000,2,0.775,4,500,round,500,0.322580645161
A1BFW88CZ8UUTI,M,English,4,45,87,laptop,round,2000,two thousand,2000,2,0.775,4,501,sharp,500,0.322580645161
A1BFW88CZ8UUTI,M,English,4,45,87,laptop,round,2000,two thousand,2000,2,0.775,4,2000,round,2000,0.177419354839
A1BFW88CZ8UUTI,M,English,4,45,87,laptop,round,2000,two thousand,2000,2,0.775,4,2001,sharp,2000,0.161290322581
A1BFW88CZ8UUTI,M,English,4,45,87,laptop,round,2000,two thousand,2000,2,0.775,4,10000,round,10000,0.0161290322581
A1BFW88CZ8UUTI,M,English,4,45,87,laptop,round,2000,two thousand,2000,2,0.775,4,10001,sharp,10000,0.0
A1BFW88CZ8UUTI,M,English,4,45,93,laptop,sharp,500,five hundred three,501,3,0.25,5,500,round,500,0.3125
A1BFW88CZ8UUTI,M,English,4,45,93,laptop,sharp,500,five hundred three,501,3,0.25,5,501,sharp,500,0.3125
A1BFW88CZ8UUTI,M,English,4,45,93,laptop,sharp,500,five hundred three,501,3,0.25,5,2000,round,2000,0.171875
A1BFW88CZ8UUTI,M,English,4,45,93,laptop,sharp,500,five hundred three,501,3,0.25,5,2001,sharp,2000,0.171875
A1BFW88CZ8UUTI,M,English,4,45,93,laptop,sharp,500,five hundred three,501,3,0.25,5,10000,round,10000,0.015625
A1BFW88CZ8UUTI,M,English,4,45,93,laptop,sharp,500,five hundred three,501,3,0.25,5,10001,sharp,10000,0.015625
A1BFW88CZ8UUTI,M,English,4,45,88,laptop,round,10000,ten thousand,10000,2,0.975,6,500,round,500,0.338235294118
A1BFW88CZ8UUTI,M,English,4,45,88,laptop,round,10000,ten thousand,10000,2,0.975,6,501,sharp,500,0.338235294118
A1BFW88CZ8UUTI,M,English,4,45,88,laptop,round,10000,ten thousand,10000,2,0.975,6,2000,round,2000,0.161764705882
A1BFW88CZ8UUTI,M,English,4,45,88,laptop,round,10000,ten thousand,10000,2,0.975,6,2001,sharp,2000,0.161764705882
A1BFW88CZ8UUTI,M,English,4,45,88,laptop,round,10000,ten thousand,10000,2,0.975,6,10000,round,10000,0.0
A1BFW88CZ8UUTI,M,English,4,45,88,laptop,round,10000,ten thousand,10000,2,0.975,6,10001,sharp,10000,0.0
A2P6VK1US8OTC5,F,english,6,45,95,laptop,sharp,2000,two thousand three,2001,3,0.975,1,500,round,500,0.2
A2P6VK1US8OTC5,F,english,6,45,95,laptop,sharp,2000,two thousand three,2001,3,0.975,1,501,sharp,500,0.2
A2P6VK1US8OTC5,F,english,6,45,95,laptop,sharp,2000,two thousand three,2001,3,0.975,1,2000,round,2000,0.3
A2P6VK1US8OTC5,F,english,6,45,95,laptop,sharp,2000,two thousand three,2001,3,0.975,1,2001,sharp,2000,0.29
A2P6VK1US8OTC5,F,english,6,45,95,laptop,sharp,2000,two thousand three,2001,3,0.975,1,10000,round,10000,0.01
A2P6VK1US8OTC5,F,english,6,45,95,laptop,sharp,2000,two thousand three,2001,3,0.975,1,10001,sharp,10000,0.0
A2P6VK1US8OTC5,F,english,6,45,93,laptop,sharp,500,four hundred ninety nine,501,4,0.975,2,500,round,500,0.2
A2P6VK1US8OTC5,F,english,6,45,93,laptop,sharp,500,four hundred ninety nine,501,4,0.975,2,501,sharp,500,0.2
A2P6VK1US8OTC5,F,english,6,45,93,laptop,sharp,500,four hundred ninety nine,501,4,0.975,2,2000,round,2000,0.28
A2P6VK1US8OTC5,F,english,6,45,93,laptop,sharp,500,four hundred ninety nine,501,4,0.975,2,2001,sharp,2000,0.31
A2P6VK1US8OTC5,F,english,6,45,93,laptop,sharp,500,four hundred ninety nine,501,4,0.975,2,10000,round,10000,0.01
A2P6VK1US8OTC5,F,english,6,45,93,laptop,sharp,500,four hundred ninety nine,501,4,0.975,2,10001,sharp,10000,0.0
A2P6VK1US8OTC5,F,english,6,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,1,3,500,round,500,0.341176470588
A2P6VK1US8OTC5,F,english,6,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,1,3,501,sharp,500,0.364705882353
A2P6VK1US8OTC5,F,english,6,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,1,3,2000,round,2000,0.152941176471
A2P6VK1US8OTC5,F,english,6,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,1,3,2001,sharp,2000,0.129411764706
A2P6VK1US8OTC5,F,english,6,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,1,3,10000,round,10000,0.0117647058824
A2P6VK1US8OTC5,F,english,6,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,1,3,10001,sharp,10000,0.0
A2P6VK1US8OTC5,F,english,6,45,85,laptop,round,500,five hundred,500,2,0.5,4,500,round,500,0.534246575342
A2P6VK1US8OTC5,F,english,6,45,85,laptop,round,500,five hundred,500,2,0.5,4,501,sharp,500,0.424657534247
A2P6VK1US8OTC5,F,english,6,45,85,laptop,round,500,five hundred,500,2,0.5,4,2000,round,2000,0.027397260274
A2P6VK1US8OTC5,F,english,6,45,85,laptop,round,500,five hundred,500,2,0.5,4,2001,sharp,2000,0.0
A2P6VK1US8OTC5,F,english,6,45,85,laptop,round,500,five hundred,500,2,0.5,4,10000,round,10000,0.013698630137
A2P6VK1US8OTC5,F,english,6,45,85,laptop,round,500,five hundred,500,2,0.5,4,10001,sharp,10000,0.0
A2P6VK1US8OTC5,F,english,6,45,88,laptop,round,10000,ten thousand,10000,2,0.25,5,500,round,500,0.309523809524
A2P6VK1US8OTC5,F,english,6,45,88,laptop,round,10000,ten thousand,10000,2,0.25,5,501,sharp,500,0.309523809524
A2P6VK1US8OTC5,F,english,6,45,88,laptop,round,10000,ten thousand,10000,2,0.25,5,2000,round,2000,0.222222222222
A2P6VK1US8OTC5,F,english,6,45,88,laptop,round,10000,ten thousand,10000,2,0.25,5,2001,sharp,2000,0.15873015873
A2P6VK1US8OTC5,F,english,6,45,88,laptop,round,10000,ten thousand,10000,2,0.25,5,10000,round,10000,0.0
A2P6VK1US8OTC5,F,english,6,45,88,laptop,round,10000,ten thousand,10000,2,0.25,5,10001,sharp,10000,0.0
A2P6VK1US8OTC5,F,english,6,45,87,laptop,round,2000,two thousand,2000,2,0.975,6,500,round,500,0.242990654206
A2P6VK1US8OTC5,F,english,6,45,87,laptop,round,2000,two thousand,2000,2,0.975,6,501,sharp,500,0.261682242991
A2P6VK1US8OTC5,F,english,6,45,87,laptop,round,2000,two thousand,2000,2,0.975,6,2000,round,2000,0.261682242991
A2P6VK1US8OTC5,F,english,6,45,87,laptop,round,2000,two thousand,2000,2,0.975,6,2001,sharp,2000,0.224299065421
A2P6VK1US8OTC5,F,english,6,45,87,laptop,round,2000,two thousand,2000,2,0.975,6,10000,round,10000,0.0
A2P6VK1US8OTC5,F,english,6,45,87,laptop,round,2000,two thousand,2000,2,0.975,6,10001,sharp,10000,0.00934579439252
A72H1PN9MHIW6,M,English,6,35,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.925,1,500,round,500,0.371428571429
A72H1PN9MHIW6,M,English,6,35,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.925,1,501,sharp,500,0.342857142857
A72H1PN9MHIW6,M,English,6,35,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.925,1,2000,round,2000,0.171428571429
A72H1PN9MHIW6,M,English,6,35,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.925,1,2001,sharp,2000,0.114285714286
A72H1PN9MHIW6,M,English,6,35,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.925,1,10000,round,10000,0.0
A72H1PN9MHIW6,M,English,6,35,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.925,1,10001,sharp,10000,0.0
A72H1PN9MHIW6,M,English,6,35,85,laptop,round,500,five hundred,500,2,0.25,2,500,round,500,0.435897435897
A72H1PN9MHIW6,M,English,6,35,85,laptop,round,500,five hundred,500,2,0.25,2,501,sharp,500,0.397435897436
A72H1PN9MHIW6,M,English,6,35,85,laptop,round,500,five hundred,500,2,0.25,2,2000,round,2000,0.0897435897436
A72H1PN9MHIW6,M,English,6,35,85,laptop,round,500,five hundred,500,2,0.25,2,2001,sharp,2000,0.0769230769231
A72H1PN9MHIW6,M,English,6,35,85,laptop,round,500,five hundred,500,2,0.25,2,10000,round,10000,0.0
A72H1PN9MHIW6,M,English,6,35,85,laptop,round,500,five hundred,500,2,0.25,2,10001,sharp,10000,0.0
A72H1PN9MHIW6,M,English,6,35,87,laptop,round,2000,two thousand,2000,2,0.6,3,500,round,500,0.186666666667
A72H1PN9MHIW6,M,English,6,35,87,laptop,round,2000,two thousand,2000,2,0.6,3,501,sharp,500,0.16
A72H1PN9MHIW6,M,English,6,35,87,laptop,round,2000,two thousand,2000,2,0.6,3,2000,round,2000,0.32
A72H1PN9MHIW6,M,English,6,35,87,laptop,round,2000,two thousand,2000,2,0.6,3,2001,sharp,2000,0.32
A72H1PN9MHIW6,M,English,6,35,87,laptop,round,2000,two thousand,2000,2,0.6,3,10000,round,10000,0.0133333333333
A72H1PN9MHIW6,M,English,6,35,87,laptop,round,2000,two thousand,2000,2,0.6,3,10001,sharp,10000,0.0
A72H1PN9MHIW6,M,English,6,35,93,laptop,sharp,500,four hundred ninety nine,501,4,0.125,4,500,round,500,0.236111111111
A72H1PN9MHIW6,M,English,6,35,93,laptop,sharp,500,four hundred ninety nine,501,4,0.125,4,501,sharp,500,0.472222222222
A72H1PN9MHIW6,M,English,6,35,93,laptop,sharp,500,four hundred ninety nine,501,4,0.125,4,2000,round,2000,0.166666666667
A72H1PN9MHIW6,M,English,6,35,93,laptop,sharp,500,four hundred ninety nine,501,4,0.125,4,2001,sharp,2000,0.125
A72H1PN9MHIW6,M,English,6,35,93,laptop,sharp,500,four hundred ninety nine,501,4,0.125,4,10000,round,10000,0.0
A72H1PN9MHIW6,M,English,6,35,93,laptop,sharp,500,four hundred ninety nine,501,4,0.125,4,10001,sharp,10000,0.0
A72H1PN9MHIW6,M,English,6,35,88,laptop,round,10000,ten thousand,10000,2,0.725,5,500,round,500,0.12676056338
A72H1PN9MHIW6,M,English,6,35,88,laptop,round,10000,ten thousand,10000,2,0.725,5,501,sharp,500,0.12676056338
A72H1PN9MHIW6,M,English,6,35,88,laptop,round,10000,ten thousand,10000,2,0.725,5,2000,round,2000,0.281690140845
A72H1PN9MHIW6,M,English,6,35,88,laptop,round,10000,ten thousand,10000,2,0.725,5,2001,sharp,2000,0.267605633803
A72H1PN9MHIW6,M,English,6,35,88,laptop,round,10000,ten thousand,10000,2,0.725,5,10000,round,10000,0.0985915492958
A72H1PN9MHIW6,M,English,6,35,88,laptop,round,10000,ten thousand,10000,2,0.725,5,10001,sharp,10000,0.0985915492958
A72H1PN9MHIW6,M,English,6,35,95,laptop,sharp,2000,two thousand one,2001,3,0.25,6,500,round,500,0.138888888889
A72H1PN9MHIW6,M,English,6,35,95,laptop,sharp,2000,two thousand one,2001,3,0.25,6,501,sharp,500,0.125
A72H1PN9MHIW6,M,English,6,35,95,laptop,sharp,2000,two thousand one,2001,3,0.25,6,2000,round,2000,0.319444444444
A72H1PN9MHIW6,M,English,6,35,95,laptop,sharp,2000,two thousand one,2001,3,0.25,6,2001,sharp,2000,0.416666666667
A72H1PN9MHIW6,M,English,6,35,95,laptop,sharp,2000,two thousand one,2001,3,0.25,6,10000,round,10000,0.0
A72H1PN9MHIW6,M,English,6,35,95,laptop,sharp,2000,two thousand one,2001,3,0.25,6,10001,sharp,10000,0.0
A23RPU5ZLLFQH0,M,English,4,55,87,laptop,round,2000,two thousand,2000,2,0.75,1,500,round,500,0.243697478992
A23RPU5ZLLFQH0,M,English,4,55,87,laptop,round,2000,two thousand,2000,2,0.75,1,501,sharp,500,0.252100840336
A23RPU5ZLLFQH0,M,English,4,55,87,laptop,round,2000,two thousand,2000,2,0.75,1,2000,round,2000,0.168067226891
A23RPU5ZLLFQH0,M,English,4,55,87,laptop,round,2000,two thousand,2000,2,0.75,1,2001,sharp,2000,0.168067226891
A23RPU5ZLLFQH0,M,English,4,55,87,laptop,round,2000,two thousand,2000,2,0.75,1,10000,round,10000,0.0840336134454
A23RPU5ZLLFQH0,M,English,4,55,87,laptop,round,2000,two thousand,2000,2,0.75,1,10001,sharp,10000,0.0840336134454
A23RPU5ZLLFQH0,M,English,4,55,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,500,round,500,0.291262135922
A23RPU5ZLLFQH0,M,English,4,55,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,501,sharp,500,0.300970873786
A23RPU5ZLLFQH0,M,English,4,55,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,2000,round,2000,0.194174757282
A23RPU5ZLLFQH0,M,English,4,55,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,2001,sharp,2000,0.194174757282
A23RPU5ZLLFQH0,M,English,4,55,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,10000,round,10000,0.00970873786408
A23RPU5ZLLFQH0,M,English,4,55,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,10001,sharp,10000,0.00970873786408
A23RPU5ZLLFQH0,M,English,4,55,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.975,3,500,round,500,0.263636363636
A23RPU5ZLLFQH0,M,English,4,55,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.975,3,501,sharp,500,0.272727272727
A23RPU5ZLLFQH0,M,English,4,55,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.975,3,2000,round,2000,0.181818181818
A23RPU5ZLLFQH0,M,English,4,55,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.975,3,2001,sharp,2000,0.181818181818
A23RPU5ZLLFQH0,M,English,4,55,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.975,3,10000,round,10000,0.00909090909091
A23RPU5ZLLFQH0,M,English,4,55,96,laptop,sharp,10000,nine thousand nine hundred ninety eight,10001,6,0.975,3,10001,sharp,10000,0.0909090909091
A23RPU5ZLLFQH0,M,English,4,55,88,laptop,round,10000,ten thousand,10000,2,1,4,500,round,500,0.274336283186
A23RPU5ZLLFQH0,M,English,4,55,88,laptop,round,10000,ten thousand,10000,2,1,4,501,sharp,500,0.265486725664
A23RPU5ZLLFQH0,M,English,4,55,88,laptop,round,10000,ten thousand,10000,2,1,4,2000,round,2000,0.176991150442
A23RPU5ZLLFQH0,M,English,4,55,88,laptop,round,10000,ten thousand,10000,2,1,4,2001,sharp,2000,0.176991150442
A23RPU5ZLLFQH0,M,English,4,55,88,laptop,round,10000,ten thousand,10000,2,1,4,10000,round,10000,0.0176991150442
A23RPU5ZLLFQH0,M,English,4,55,88,laptop,round,10000,ten thousand,10000,2,1,4,10001,sharp,10000,0.0884955752212
A23RPU5ZLLFQH0,M,English,4,55,93,laptop,sharp,500,five hundred two,501,3,0.25,5,500,round,500,0.298076923077
A23RPU5ZLLFQH0,M,English,4,55,93,laptop,sharp,500,five hundred two,501,3,0.25,5,501,sharp,500,0.298076923077
A23RPU5ZLLFQH0,M,English,4,55,93,laptop,sharp,500,five hundred two,501,3,0.25,5,2000,round,2000,0.192307692308
A23RPU5ZLLFQH0,M,English,4,55,93,laptop,sharp,500,five hundred two,501,3,0.25,5,2001,sharp,2000,0.192307692308
A23RPU5ZLLFQH0,M,English,4,55,93,laptop,sharp,500,five hundred two,501,3,0.25,5,10000,round,10000,0.00961538461538
A23RPU5ZLLFQH0,M,English,4,55,93,laptop,sharp,500,five hundred two,501,3,0.25,5,10001,sharp,10000,0.00961538461538
A23RPU5ZLLFQH0,M,English,4,55,85,laptop,round,500,five hundred,500,2,0.25,6,500,round,500,0.287128712871
